topic1_word,topic2_word,topic3_word,topic4_word,topic5_word,topic6_word,topic7_word
角色,暴雪,女人,角色,记者,玩家,玩家
男性,遇上,黑神话悟空,韩国,黑神话,黑神话悟空,黑神话
黑神话悟空,特别,美联社,形象,报道,黑神话,黑神话悟空
原型,裁员,自信,设计,言论,侮辱,悟空
西方,暴死,报道,暴露,评论,正确,男性
网友,两年,文化,厂商,育碧,法国,中国
尊重,策划,展开,星刃,国内,政治,性别歧视
建模,赚钱,公司,上半年,社会,动画,群体
西游记,玩游戏,大姐,真不,中国,女拳,发布
亚洲,工作,细糠,直观,国外,女孩,角色
情况,质疑,情趣,实质,集美,悟空,抵制
玩家,原因,娃娃,展示,想要,居居,四妹
凝视,自然,三年,悟空,黑马,好像,截图
美女,正面,发财,黑神话,实在,抵制,关注
充斥,实锤,十斤,主角,工作室,妖怪,大作
完蛋,都市,欣赏,孙悟空,世界,当年,乙游
黑神话,第一次,排像,十多年,公司,视频,女权
例子,行业,玩物,一路,一篇,星鸣特,造谣
评论,出名,尿酸,崩塌,撰写,高度,媒体
视频,倒闭,手术台,男性,收集,印象,恋与深空
